,Share,Win_Ratio,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mean,0.15704671532846712,0.6320218932803859,74.56350364963504,36.222043795620465,8.155766423357656,16.57021897810221,0.494543065693431,0.775182481751825,2.187737226277372,0.2701062215477996,7.382335766423352,14.382189781021902,0.5140291970802924,0.5172817518248175,5.0185401459853995,6.451970802919702,0.7811401459854016,1.967007299270073,5.516934306569341,7.483211678832126,5.051094890510947,1.422481751824818,0.9754744525547453,2.8817518248175173,2.638394160583942,22.103357664233585,22.578248175182484,0.5699489051094895,0.12802481751824818,0.39393722627737215,6.2331386861313876,16.884963503649647,11.665109489051098,23.102335766423362,1.9585401459854026,1.8439416058394162,13.291240875912411,26.632846715328434,6.803211678832107,3.827153284671531,10.626131386861315,0.18813138686131384,4.091678832116787,0.8357664233576646,4.925985401459857,4.751532846715326
Stdev,0.2587768306995145,0.10596121978868625,9.576903837968587,3.0496134206851546,1.8878689843544052,3.8829911879907164,0.04580989798881542,0.9466299892432982,2.4472974092274926,0.14621004670536872,2.0453900036944175,3.917758846475263,0.043714976224220964,0.04101106365306639,1.7369709384871972,2.2143041886971986,0.08784722705440534,1.1889810646805383,2.3785664394928236,3.2823328545844417,2.8267704380447487,0.576379328349807,0.9195790821394098,0.6843722288899216,0.6449310149162769,5.200956147667416,3.772539649381477,0.03992575733715842,0.13653882862530942,0.12081913589145703,3.702772343661387,7.113104117149882,5.049870607569989,12.121136646393625,0.7537261630515435,1.7259997347347544,3.434710047019784,4.929993972468399,2.981436948557854,1.5274079584376579,3.3474312068310907,0.04859352493359033,2.1709547881109885,1.345445926332169,2.6856880427451872,2.0861317662988177
Max,1.0,0.8902439024390244,82.0,43.7,13.4,27.8,0.675,5.3,13.2,1.0,13.2,27.0,0.68,0.675,10.3,13.1,0.948,7.0,12.3,18.7,14.5,3.7,5.6,5.7,4.3,37.1,31.9,0.699,0.604,0.978,20.8,37.8,29.7,57.5,4.8,8.7,29.1,41.7,15.2,9.1,21.2,0.322,10.3,4.6,13.2,12.5
Median,0.021,0.6463414634146342,78.0,36.6,8.3,16.8,0.492,0.3,1.2,0.31,7.4,14.4,0.509,0.514,4.9,6.3,0.79,1.8,5.2,6.9,4.5,1.4,0.6,2.9,2.6,22.1,22.7,0.569,0.072,0.376,5.5,16.4,10.9,20.6,1.9,1.2,12.7,26.8,6.7,3.7,10.5,0.188,4.1,0.8,4.8,4.6
Min,0.001,0.2195121951219512,17.0,23.6,2.0,3.7,0.384,0.0,0.0,0.0,1.9,3.4,0.403,0.42,0.7,1.3,0.422,0.3,1.1,1.9,0.8,0.2,0.0,0.9,0.9,4.7,10.1,0.441,0.0,0.147,1.0,3.2,2.6,3.7,0.4,0.0,6.3,7.1,-1.3,0.3,2.3,0.046,-3.1,-2.4,-1.9,0.0
